CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE
50097024,NEW PHO TAY HO,Brooklyn,2351,86 STREET,11214
50072912,YES CHEF WINE BAR,Queens,4410,30TH AVE,11103
50093908,CAFE ATELIER,Manhattan,112,HUDSON STREET,10013
50071968,REBAR BY THE BRIDGE,Queens,15-07,150 STREET,11357
50094318,XU'S PUBLIC HOUSE,Manhattan,15,UNION SQUARE WEST,10003
50087732,LANGKAWI,Brooklyn,5323,8 AVENUE,11220
50078414,FLAME,Manhattan,100,WEST   82 STREET,10024
40400429,BONELLE PASTRY SHOP,Queens,108-30,ASCAN AVENUE,11375
50037988,BANH MI PLACE,Brooklyn,824B,WASHINGTON AVENUE,11238
50101055,RD CARIDAD,Bronx,501,HUNTS POINT AVENUE,10474
50013436,La Colombe,Manhattan,75,VANDAM STREET,10013
50093297,,Bronx,2457,WEBSTER AVE,10458
50066778,MS. YOO,Manhattan,163,ALLEN STREET,10002
50048243,DUNKIN BASKIN ROBBINS,Brooklyn,1285,BROADWAY,11221
41629960,NEW KING WAH,Queens,21-04,NEWTOWN AVENUE,11102
41188476,PAPATZUL,Manhattan,55,GRAND STREET,10013
41218950,GREENWICH TREEHOUSE,Manhattan,46,GREENWICH AVENUE,10011
50080623,MOCHA CAFE,Manhattan,203,EAST  121 STREET,10035
50034665,ELORA'S MEXICAN AND SPANISH RESTAURANT,Brooklyn,272,PROSPECT PARK WEST,11215
50015845,ASHLEY'S FINE FOODS,Manhattan,514,LEXINGTON AVENUE,10017
50107093,,Manhattan,2268,BROADWAY,10024
50069837,WASABI SUSHI & BENTO,Manhattan,1,PENN PLZ CONCOURSE LEVEL,10119
41422049,THE FACULTY HOUSE,Manhattan,64,MORNINGSIDE DRIVE,10027
50083137,PEP NY,Brooklyn,1273C,BAY RIDGE AVENUE,11219
50078285,STARBUCKS,Brooklyn,66,NASSAU AVENUE,11222
50003236,LITTLE DOKEBI,Brooklyn,85,DRIGGS AVENUE,11222
50011046,LA BELLA PIZZA EXPRESS,Brooklyn,2178,86 STREET,11214
50049317,CAFE 23,Manhattan,919,3 AVENUE,10022
50088695,MEET NOODLES,Brooklyn,5216,8 AVENUE,11220
50037817,FATTY DADDY TACO,Brooklyn,152,SMITH STREET,11201
50089320,MIZNON UWS,Manhattan,161,WEST   72 STREET,10023
50040484,ELEMENT HOTEL TIME SQUARE,Manhattan,309,WEST   39 STREET,10018
50009233,HASHI RAMEN & IZAKAYA,Queens,192-12,NORTHERN BOULEVARD,11358
50088306,AWC WING PLUS+,Manhattan,1914,3 AVENUE,10029
40961447,MESON SEVILLA RESTAURANT,Manhattan,344,WEST   46 STREET,10036
50050704,99 CENT FRESH PIZZA,Manhattan,388,AVENUE OF THE AMERICAS,10011
50091815,DOMINO'S,Bronx,3611,KINGSBRIDGE AVENUE,10463
50101619,,Brooklyn,249,BUSHWICK AVENUE,11206
41428773,SHERWOOD TO GO,Manhattan,930,3 AVENUE,10022
50102967,FLAMIN PIZZA AND WINGS CORP,Brooklyn,1595,BROADWAY,11207
50097337,BBQ MEAT SHOP,Queens,24123,BRADDOCK AVE,11426
40510301,EL VAQUERO BARRAS,Bronx,2649,WEBSTER AVENUE,10458
50080782,CANTEEN M & COFFEE M,Manhattan,189,BOWERY,10002
50087580,SUMA SUSHI,Manhattan,964,AMSTERDAM AVENUE,10025
41532069,RUBIROSA PIZZA & RISTORANTE,Manhattan,235,MULBERRY STREET,10012
50092290,KRAVE IT,Queens,4015,BELL BLVD,11361
50084675,HO WAH CHINA WOK INC,Queens,195-19,JAMAICA AVENUE,11423
50051704,LITTLE CANAL,Manhattan,26,CANAL STREET,10002
50072003,FAUSTO,Brooklyn,348,FLATBUSH AVENUE,11238
41376958,WEI MEI XIAN,Brooklyn,705,60 STREET,11220
41456998,A.I.G.\CHARTIS,Manhattan,175,WATER STREET,10038
50018772,LINDA ASIAN KITCHEN,Brooklyn,882,DEKALB AVENUE,11221
50091183,CASABLANCA RESTAURANT,Staten Island,155,LAFAYETTE AVENUE,10301
50077207,CHAMPION PIZZA,Manhattan,2,WEST   14 STREET,10011
41700297,JULIANA'S PIZZA,Brooklyn,19,OLD FULTON STREET,11201
41573992,KAIA WINE BAR,Manhattan,1614,3 AVENUE,10128
40729264,PLAYWRIGHT TAVERN,Manhattan,27,WEST   35 STREET,10001
41247493,MY PLACE FAMILY PIZZA,Bronx,240,EAST  198 STREET,10458
50090965,WELCOME CHILI,Brooklyn,3806,FORT HAMILTON PARKWAY,11218
41022989,MULBERRY STREET BAR,Manhattan,176 1\2,MULBERRY STREET,
50038886,OKINII,Manhattan,216,THOMPSON STREET,10012
50104712,LOS 3 CHARROS MEXICAN RESTAURANT,Manhattan,57,LENOX AVENUE,10026
50102840,GORKHALI RESTAURANT & BAR,Queens,7704,ROOSEVELT AVE,11372
50096067,TACO MIX,Manhattan,158,DELANCEY STREET,10002
50088027,MIRADOR RESTAURANT,Bronx,44,WEST KINGSBRIDGE ROAD,10468
41635392,JUICE GENERATION,Manhattan,1486,3 AVENUE,10028
40879243,"HYATT, NY CENTRAL, ROOM SERVICE",Manhattan,0,& GRAND CENTRAL,
50046086,THE PIERPONT LEADERSHIP CENTER,Manhattan,383,MADISON AVENUE,10179
50095863,GALLO NERO,Manhattan,181,DUANE STREET,10013
50011386,KOBEYAKI,Manhattan,215,EAST   86 STREET,10028
50106850,,Manhattan,339,EAST  108 STREET,10029
50102342,THE IZAKAYA,Manhattan,215,EAST    4 STREET,10009
50071964,SUZUKI SHOKUDO,Queens,3801,31ST ST,11101
50012623,SLICK WILLIE,Brooklyn,179,MESEROLE AVENUE,11222
50093775,HOMEMADE TAQUERIA,Queens,9409,101ST AVE,11416
50000697,UNCLE'S SHACK & GRILL,Brooklyn,1117,ROGERS AVENUE,11226
41048429,CHIPOTLE MEXICAN GRILL,Brooklyn,185,MONTAGUE STREET,11201
50080540,NEW MAY MAY KITCHEN,Manhattan,181,CLINTON STREET,10002
41617387,DUNKIN',Bronx,701,ALLERTON AVENUE,10467
50105933,ADR VENTURES,Bronx,4399A,WHITE PLAINS RD,
41623363,DUNKIN',Manhattan,1093,2 AVENUE,10022
50001484,TOYAMA CUISINE,Brooklyn,6001,7 AVENUE,11220
50066224,PATISSERIE,Manhattan,225,LIBERTY STREET,10280
50106214,,Brooklyn,149,WYTHE AVENUE,11249
50092501,THE BOUTIQUE,Queens,3301,DITMARS BLVD,11105
50103337,EAST HAE,Brooklyn,98,NORTH    6 STREET,11249
50105371,MR. COCO CHICKEN,Queens,4515,162ND ST,11358
